Session source / medium,Active users,Sessions,Engaged sessions,Average engagement time per session (s),Engaged sessions per user,Event count
Grand total,88373,146433,61542,26,0.696389,698177
google / organic,46634,82627,36202,34,0.776301,386320
google / cpc,24564,27172,9606,10,0.39106,116814
(direct) / (none),13189,28036,10630,13,0.805975,133738
bing / organic,1241,2744,1264,40,1.018533,14581
coccoc.com / referral,1091,1888,863,43,0.791017,8701
pinetree.vn / referral,637,904,197,0,0.309262,2800
zalo / zalo,502,677,259,28,0.515936,3462
yahoo / organic,387,801,347,54,0.896641,3672
(not set),352,374,0,57,0,1055
vn.search.yahoo.com / referral,343,726,284,44,0.827988,3187
zalo / menu,220,273,132,16,0.6,1755
GDN / CPC,187,201,46,5,0.245989,782
m.facebook.com / referral,145,149,59,5,0.406897,760
l.facebook.com / referral,113,402,197,23,1.743363,2895
youtube.com / referral,113,155,74,52,0.654867,1248
trade.pinetree.vn / referral,90,111,24,-,0.266667,348
linkedin.com / referral,87,270,100,18,1.149425,1473
baidu / organic,72,72,0,0,0,270
YT_trueview / CPV,64,73,28,15,0.4375,379
chat.zalo.me / referral,48,96,49,37,1.020833,492
zalo / zcb,29,89,29,5,1,375
lm.facebook.com / referral,26,27,18,29,0.692308,262
lens.google.com / referral,22,34,16,18,0.727273,256
pr / vne,21,37,23,65,1.095238,379
hftvietnam.sharepoint.com / referral,20,333,146,35,7.3,2422
edgeservices.bing.com / referral,19,31,16,78,0.842105,171
oa.zalo.me / referral,19,19,14,25,0.736842,130
mail.google.com / referral,18,55,24,19,1.333333,323
tinnhanhchungkhoan.vn / referral,16,51,26,37,1.625,349
copilot.microsoft.com / referral,13,15,10,16,0.769231,85
pino.pinex.vn / referral,13,13,8,15,0.615385,84
trading.pinetree.vn / referral,13,18,3,-,0.230769,53
10.8.90.16:8888 / referral,12,316,122,26,10.16667,2011
news.google.com / referral,12,13,6,17,0.5,65
ntp.msn.com / referral,12,295,86,5,7.166667,1015
topcv.vn / referral,11,18,13,52,1.181818,197
Admicro_AdX / referral,10,99,29,6,2.9,388
finance.vietstock.vn / referral,10,41,36,13,3.6,283